customerName,recency,frequency,monetary,totalSalesAmount,totalProfit,cluster,segment
MELVIN MARSH INTERNATIONAL LTD,39,54,384396.54,384396.54,62318.41,3,Loyal Customers
HUIUSQUE LOGISTICS LIMITED,53,54,383017.23,383017.23,110253.39,0,Potential Loyalists
IN MOTION REGIONAL LOGISTICS LIMITED,128,14,382758.66000000003,382758.66000000003,63878.95,0,Potential Loyalists
WIRE PRODUCTS LIMITED,28,34,377499.99,377499.99,43187.23,5,Promising
MEGNET MOTORS (K) LIMITED,18,29,374181.04,374181.04,156820.38999999998,5,Promising
SIAKA AUTO TYRES,36,36,368879.32,368879.32,93441.87,5,Promising
BUDGET DRIVING SCHOOL,29,35,367586.26,367586.26,158068.78,5,Promising
SALVADOR CAETANO (K) LIMITED,37,38,366853.44,366853.44,202175.91,5,Promising
VICWORLD TYRES LIMITED,5,23,362255.17,362255.17,84605.0,5,Promising
MOTORHUB SERVICE CENTER,48,20,360086.20999999996,360086.20999999996,117227.79,5,Promising
PIONEER FEEDS LTD,29,36,357931.04000000004,357931.04000000004,92294.4,5,Promising
INSTA PRODUCTS EPZ LIMITED,352,16,347586.24,347586.24,133390.52,0,Potential Loyalists
CHANIA GENESIS -KINYANJUI JOEL NDURUHU,26,25,342413.8,342413.8,113999.16,5,Promising
KENYA AIRWAYS PLC,225,17,338448.28,338448.28,117843.95000000001,0,Potential Loyalists
WELLS FARGO LIMITED,48,42,335172.4,335172.4,89412.75,0,Potential Loyalists
SCHENKER LIMITED,112,35,331465.47,331465.47,68546.8,0,Potential Loyalists
TRINITY ACE LOGISTICS LIMITED,119,7,331034.52,331034.52,69570.78,0,Potential Loyalists
AUTOMETRIX LIMITED,95,43,318836.20999999996,318836.20999999996,171807.66,0,Potential Loyalists
JAPAN INTERNATIONAL COOPERATION AGENCY,36,19,317344.83999999997,317344.83999999997,25177.499999999993,5,Promising
BANTARAM & COMPANY LIMITED,230,6,314763.94,314763.94,132189.95,4,At Risk
AUTO EXPRESS LTD,42,2,314677.58999999997,314677.58999999997,49476.740000000005,5,Promising
GULF PREMIX LIMITED,314,16,310948.23000000004,310948.23000000004,412726.29,0,Potential Loyalists
MULJI DEVRAJ& BROTHER LIMITED,218,9,309396.55000000005,309396.55000000005,69901.86,0,Potential Loyalists
DEBRA LIMITED,12,16,299913.8,299913.8,40127.28,5,Promising
ULTIMATE SECURITY LIMITED,9,32,298318.94,298318.94,88529.68,5,Promising
SILVERSTONE TYRES (K) LTD,4,140,290675.01,290675.01,-10763.29,3,Loyal Customers
BIO FOOD PRODUCTS LIMITED,55,17,288793.49,288793.49,54356.57,5,Promising
BOB MORGAN SYSTEMS LTD - BM SYSTEMS LTD,35,73,288275.89,288275.89,125412.40000000001,3,Loyal Customers
KENATRA TRANSPORTERS LTD,162,13,287586.24,287586.24,37468.64,0,Potential Loyalists
KERICHO MOTOR SPARES & HARDWARE LTD,29,7,283965.52,283965.52,28703.45,5,Promising
RONITEX TYRE SERVICES LTD,13,18,282262.91,282262.91,139340.59,5,Promising
IFSS LIMITED,117,20,275302.68,275302.68,50231.06999999999,0,Potential Loyalists
SHREE AMBICA AUTO PARTS,156,14,270862.07,270862.07,60201.770000000004,0,Potential Loyalists
KONGONI RIVER FARM LTD,48,2,268965.52,268965.52,59053.42999999999,5,Promising
GARDAWORLD SERVICES (KENYA) LIMITED,22,28,268275.87,268275.87,102145.53,5,Promising
RAI CEMENT LIMITED,77,8,266206.89999999997,266206.89999999997,125701.60999999999,0,Potential Loyalists
SPINNERS & SPINNERS  LTD,166,24,263706.89,263706.89,97778.53,0,Potential Loyalists
NAIROBI MECHANICAL ENGINEERS LIMITED,29,16,261845.84,261845.84,35873.59,5,Promising
EUROPA INFRASTRUCTURE TECHNOLOGIES (E.A) LTD,37,18,259413.81,259413.81,66617.40999999999,5,Promising
ORIEL LTD,60,24,258405.18,258405.18,156853.24000000002,0,Potential Loyalists
HARGEYSA AUTO SPARES,300,20,257384.49,257384.49,28616.75,0,Potential Loyalists
ADENZO COMFIES LIMITED,337,4,255775.86,255775.86,102380.1,4,At Risk
AQUAMIST WATER LTD,126,17,254814.65,254814.65,81727.65,0,Potential Loyalists
SAPHIRE TRADING & MARKETING LTD,147,16,253275.85,253275.85,103573.53,0,Potential Loyalists
EXPRESS AUTOMART LIMITED,44,41,250991.38,250991.38,68436.47,5,Promising
VIVO ENERGY KENYA LIMITED,105,13,243965.51,243965.51,87093.29,0,Potential Loyalists
ANGATA SUGAR MILLS LTD,37,6,240344.82,240344.82,94480.0,5,Promising
MUSTRAL GENERAL TRADERS LIMITED,182,13,239827.59000000003,239827.59000000003,24277.200000000004,0,Potential Loyalists
MUSIARA LIMITED,281,10,238620.66,238620.66,78952.44,0,Potential Loyalists
BETA HEALTHCARE,64,83,238233.14,238233.14,81686.64,0,Potential Loyalists
KUKENA SACCO SOCIETY LTD,18,4,237069.0,237069.0,34117.07,5,Promising
TECHPAK INDUSTRIES LTD,127,34,234965.51,234965.51,56133.24,0,Potential Loyalists
KUBER AGENCIES LIMITED,189,11,232758.6,232758.6,72744.03,0,Potential Loyalists
ACHELIS MATERIAL HANDLING,97,22,229094.86000000002,229094.86000000002,61093.330000000016,0,Potential Loyalists
ASL LIMITED - TRADING DIVISION,173,6,228103.46,228103.46,76387.75,4,At Risk
WINNIE'S PURE HEALTH PRODUCTS LTD,124,22,225088.08,225088.08,132771.1,0,Potential Loyalists
A.T. GLASS LIMITED,15,15,223534.49,223534.49,67491.83,5,Promising
NGATI AUTO TYRES,315,7,220131.0,220131.0,24845.12,4,At Risk
BAKEMARK LIMITED,265,4,210689.66,210689.66,43943.15,4,At Risk
RED LINE AUTO AND TIRE CENTRE LIMITED,64,11,210603.44,210603.44,59097.74,5,Promising
BOBMIL INDUSTRIES LIMITED,62,28,208189.62,208189.62,42453.67,0,Potential Loyalists
SLATER & WHITTAKER LTD,71,25,207922.42,207922.42,52258.0,0,Potential Loyalists
POOLSHOP EA LIMITED,69,13,207543.1,207543.1,64742.67,0,Potential Loyalists
USIJALI REPAIRS LIMITED,33,26,204612.07,204612.07,64621.55,5,Promising
KENYA RED CROSS SOCIETY,148,4,204094.84999999998,204094.84999999998,191405.25,4,At Risk
CROWN TOURS AND CAR HIRE LIMITED,78,17,203448.26,203448.26,69652.08,0,Potential Loyalists
EXACT MARKETING SERVICES LTD,12,36,202144.4,202144.4,40081.59,5,Promising
BOLT UP GARAGE LTD.,36,23,199956.86,199956.86,62046.64,5,Promising
HIGHRIDE AUTO TYRES LTD,109,12,199801.74,199801.74,39389.51,0,Potential Loyalists
KIGORI AUTO TYRES,25,8,199323.26,199323.26,46875.81,5,Promising
EMBASSY OF FINLAND,231,6,192759.63999999998,192759.63999999998,66345.61,4,At Risk
MAINLAND AUTO TYRES,301,4,186379.31,186379.31,166350.35,4,At Risk
AUTONOVA LIMITED,28,24,183478.45,183478.45,69705.93,5,Promising
SAI RAJ LTD,42,6,179827.59,179827.59,42985.25,5,Promising
JAMES & MICHAEL TYRES,57,7,178448.28999999998,178448.28999999998,26926.670000000002,5,Promising
IBERO KENYA LIMITED,30,11,175948.28,175948.28,55872.62000000001,5,Promising
SIMBA VEHICLE RENTAL,344,11,169655.21,169655.21,71289.63,4,At Risk
STEEL STRUCTURES LTD,30,12,167468.96,167468.96,62340.99,5,Promising
THE LAZIZI PREMIER LTD,218,7,166379.32,166379.32,34502.7,4,At Risk
THIKA MOTOR DEALERS (K) LTD,29,34,164310.36000000002,164310.36000000002,55197.36,5,Promising
SIGONA GOLF CLUB,42,7,164068.97,164068.97,50350.08,5,Promising
SHABANA INDUSTRIES LIMITED,102,18,163342.7,163342.7,54274.92,0,Potential Loyalists
SLAVIA AUTO,201,2,160517.24,160517.24,32551.770000000004,4,At Risk
AZIZI REALTORS LTD,134,8,159504.33,159504.33,58615.729999999996,4,At Risk
ECOLAB EAST AFRICA KENYA LTD,76,5,159439.66,159439.66,50752.67999999999,4,At Risk
KAY CONSTRUCTION COMPANY LIMITED,302,6,159224.11,159224.11,26267.660000000003,4,At Risk
FINE TOUCH MEDIA LIMITED,95,21,158538.78999999998,158538.78999999998,43286.3,0,Potential Loyalists
MURBAN MOVERS,237,6,155173.42,155173.42,9886.449999999997,4,At Risk
SPARR DRILLING COMPANY LIMITED,331,6,154741.36000000002,154741.36000000002,20258.57,4,At Risk
WINDSCREEN MANIA LTD,140,15,153611.21000000002,153611.21000000002,21575.67,0,Potential Loyalists
TRANSTRADE ENTERPRISES,323,6,151293.12,151293.12,53896.66,4,At Risk
UNITED RENT A CAR LIMITED,13,18,150905.19,150905.19,51102.79,5,Promising
HEKIMA AUTO TYRES,14,10,150000.0,150000.0,45852.93,5,Promising
GITHUNGURI DAIRY FARMERS COOPERATIVE SOCIETY LTD,313,4,148706.88999999998,148706.88999999998,59552.11,4,At Risk
BOUNTY LIMITED,9,16,148499.97,148499.97,19007.07,5,Promising
TECHPAK FAMILY ACCOUNT,2,4,147577.61000000002,147577.61000000002,48927.340000000004,5,Promising
FAMIKA TYRE CENTRE,15,26,144655.18,144655.18,40782.66,5,Promising
MOTBI LIMITED,204,6,143362.06999999998,143362.06999999998,44480.21,4,At Risk
EXPRESS MACHINERY & SPARES LTD,187,35,142758.66,142758.66,35279.62,0,Potential Loyalists
KOBO SAFARIS,30,6,141379.32,141379.32,24622.5,5,Promising
OILCOM (KENYA) LTD,18,37,139741.37,139741.37,44636.409999999996,5,Promising
TYRE BAY CHUKA,315,8,139524.59,139524.59,19433.35,4,At Risk
ELDO PRIME TYRES LIMITED,89,3,134482.74,134482.74,16545.75,4,At Risk
POLYFLEX INDUSTRIES LTD.,93,24,131810.36000000002,131810.36000000002,16102.44,0,Potential Loyalists
COMPLAST INDUSTRIES LIMITED,179,18,129138.02,129138.02,33971.64,0,Potential Loyalists
BOSS AUTO SOLUTIONS LTD,335,5,127856.04,127856.04,46305.6,4,At Risk
POLYTANKS LTD,97,13,117155.17,117155.17,34791.13,0,Potential Loyalists
PARAPET LTD,64,13,117068.97,117068.97,33870.909999999996,5,Promising
KENRUB LTD,43,10,115793.09999999999,115793.09999999999,52056.92,5,Promising
OSHO GRAIN MILLERS LTD,43,14,115431.0,115431.0,53299.0,5,Promising
THE DREAM FACTORY K LTD,35,35,114344.84,114344.84,13471.57,5,Promising
SICHEY AUTOMOTIVE EAST AFRICA LTD,2,24,112202.62,112202.62,37110.840000000004,5,Promising
VEGPRO LTD,54,8,109137.96000000002,109137.96000000002,133858.26,5,Promising
DEVYANI FOOD INDUSTRIES (KENYA) LIMITED,26,8,108362.07,108362.07,30409.94,5,Promising
JON LOVENDAL,349,2,108276.86,108276.86,17856.86,4,At Risk
SCIENCESCOPE LIMITED,26,96,107116.38,107116.38,-2046.5699999999988,3,Loyal Customers
INTERPEL CONTAINER FREIGHT STATION,348,4,106896.56,106896.56,27131.42,4,At Risk
ROMAGECO KENYA LTD,34,11,103663.79,103663.79,69516.93,5,Promising
AMBAR ENTERPRISES LIMITED,299,4,103448.26,103448.26,53309.200000000004,4,At Risk
REAL AUTO SPARES LTD,131,10,97909.48,97909.48,60629.94,4,At Risk
SHRINK PACK LIMITED,36,11,97318.97,97318.97,13572.970000000001,5,Promising
SUBARU KENYA - ECTA (K) LTD,8,7,96939.65,96939.65,44509.58,5,Promising
BRAINSTON KINDERGARTEN LTD,79,9,95862.07,95862.07,23725.36,4,At Risk
SUPERSLEEK LIMITED,133,14,95698.3,95698.3,31786.690000000002,0,Potential Loyalists
VISH ELECTRIC - NAIROBI,93,8,94340.51,94340.51,36567.97,4,At Risk
CENTRAL BANK OF KENYA,280,6,93103.44,93103.44,43989.61,4,At Risk
SPECIALIZED ALUMINIUM RENOVATORS LIMITED,352,10,93103.44,93103.44,2801.739999999998,4,At Risk
HEMINGWAYS OL SEKI MARA,29,9,90689.66,90689.66,36403.42,5,Promising
KILIMANI JUNIOR ACADEMY LIMITED,50,5,89051.73000000001,89051.73000000001,13536.43,5,Promising
SBC KENYA LIMITED,13,6,88965.51,88965.51,13867.32,5,Promising
FRIENDSHIP CONTAINER MANUFACTURERS LTD,340,2,88612.07,88612.07,41346.38,4,At Risk
GENERAL AUTOMOBILE,22,8,88077.59999999999,88077.59999999999,25133.85,5,Promising
RENTCO AFRICA LIMITED,33,9,88060.34000000001,88060.34000000001,37544.57,5,Promising
ZAYTUNA CO. LTD,300,8,85086.19,85086.19,33582.61,4,At Risk
MAHITAJI ENTERPRISES LTD,132,9,82931.02,82931.02,13015.46,4,At Risk
MYISP LIMITED,13,84,81436.19,81436.19,-12930.39,3,Loyal Customers
WAGA AUTO TYRES & BATTERIES,315,3,81379.32,81379.32,10366.27,4,At Risk
ASP COMPANY LIMITED,42,5,76293.11,76293.11,21174.890000000003,5,Promising
TWIGA CONSTRUCTION LIMITED,308,1,75685.35,75685.35,28248.69,4,At Risk
CAPITOL PRINTERS LTD,65,8,75431.03,75431.03,17258.15,4,At Risk
AUTO MOVERS LTD,21,5,74568.97,74568.97,18145.440000000002,5,Promising
DATAPOSIT LTD,15,4,74094.81999999999,74094.81999999999,30648.0,5,Promising
NDARAWETTA TEA FACTORY LTD,93,3,73706.9,73706.9,13825.619999999999,4,At Risk
SPARTAN RELIEF SUPPLIES LTD,155,31,72620.7,72620.7,63576.55,0,Potential Loyalists
JOKIM TYRES,9,11,69240.52,69240.52,16503.74,5,Promising
DELUXE TRUCKS & BUSES (EA) LTD,23,2,68965.52,68965.52,-2133.62,5,Promising
GERMAN DIGITAL CAR & TYRE CENTER LTD,356,3,68736.21,68736.21,25920.629999999997,4,At Risk
DAY BREAK LTD,162,2,66896.56,66896.56,28638.46,4,At Risk
DK ADVENTURE SAFARIS LTD,249,5,65689.65,65689.65,21332.89,4,At Risk
2NK SACCO CS LTD,63,5,64655.17,64655.17,11709.92,4,At Risk
MIDCO TEXTILE LTD,224,4,63000.0,63000.0,27269.41,4,At Risk
VIASHLA PREMIER SERVICES,317,4,62844.84,62844.84,15561.890000000001,4,At Risk
KINGS PLASTIC INDUSTRIES LTD,79,14,61637.94,61637.94,13796.130000000001,4,At Risk
SAMANI CONSTRUCTION LIMITED,285,3,60517.24,60517.24,16585.77,4,At Risk
BEAN INTERACTIVE LTD,217,3,60344.82,60344.82,16887.15,4,At Risk
SPECIALISED HARDWARES LIMITED,202,5,59741.369999999995,59741.369999999995,17317.54,4,At Risk
WRAPZONE LTD,32,5,56551.73,56551.73,15522.210000000001,5,Promising
KIAMUNYI TYRE DEALERS AND ACCESSORIES,193,2,55948.28,55948.28,8952.46,4,At Risk
TRANSTRAILERS LIMITED,118,6,55086.2,55086.2,70956.99,4,At Risk
EXON  INVESTMENTS LTD,43,5,54965.520000000004,54965.520000000004,21958.69,5,Promising
TROPICAL FARM MANAGEMENT,84,4,51939.65000000001,51939.65000000001,20748.43,4,At Risk
EXUBER INVESTMENTS LIMITED,54,4,51724.14,51724.14,15066.950000000003,4,At Risk
RAPA INVESTMENT LIMITED,111,8,51637.93,51637.93,11168.759999999998,4,At Risk
XUPERB RENTAL LIMITED,331,3,51551.72,51551.72,16923.82,4,At Risk
NYALI LINKS ROAD SERVICE STATION,82,3,49827.59,49827.59,19593.350000000002,4,At Risk
ACREAGE HOLDINGS LIMITED,317,8,49655.17,49655.17,14330.27,4,At Risk
ADIX PLASTICS LTD,135,12,49224.15,49224.15,12328.05,4,At Risk
GEOCRUISERS,90,12,48534.48,48534.48,18892.93,4,At Risk
ADVANCE AUTO PRODUCTS LIMITED,116,8,47758.62,47758.62,12834.32,4,At Risk
OPTIMUM LUBRICANTS LIMITED,191,12,47241.369999999995,47241.369999999995,20584.329999999998,4,At Risk
ROAD TRANK TYRE LTD,341,6,46206.9,46206.9,3462.87,4,At Risk
SAMLU CITY CLEANERS,201,6,45155.17,45155.17,13709.1,4,At Risk
VARIA FAMILY ACCOUNT,260,5,44568.96,44568.96,10124.619999999999,4,At Risk
NIRMAL FABRICATORS LTD,328,3,44138.79,44138.79,13153.58,4,At Risk
SINTEL SECURITY PRINT SOLUTIONS LTD,352,4,40732.76,40732.76,19023.4,4,At Risk
FURNITURE INTERNATIONAL LTD,13,5,39568.97,39568.97,17021.74,5,Promising
KALON FOODS LIMITED,254,15,38560.34,38560.34,74150.97,4,At Risk
BUROOJ AUTO SPARES LIMITED,152,3,36379.32,36379.32,11767.2,4,At Risk
PREMIER INDUSTRIES LIMITED,324,8,36034.48,36034.48,25348.97,4,At Risk
JETLAK FOODS LTD,158,2,36034.48,36034.48,16591.82,4,At Risk
RUPRA CONSTRUCTION COMPANY LTD,324,6,34827.58,34827.58,7270.490000000001,4,At Risk
POLYCHEM INDUSTRIES LIMITED,288,1,29482.76,29482.76,6818.18,4,At Risk
AUTOPHARM SPARES LIMITED,210,3,29396.55,29396.55,9245.79,4,At Risk
BID APARTMENT LIMITED,36,16,29095.690000000002,29095.690000000002,1090.69,5,Promising
GATHANI LIMITED,303,5,28620.69,28620.69,8152.710000000001,4,At Risk
AUTOFIT KENYA COMPANY LIMITED,78,7,25862.06,25862.06,5517.32,4,At Risk
AQUA TRONICS LTD,309,18,25517.679999999997,25517.679999999997,36259.740000000005,4,At Risk
NOVASTRO LIMITED,293,4,25387.93,25387.93,12110.96,4,At Risk
STYLE INDUSTRIES LIMITED,138,2,25189.66,25189.66,5936.44,4,At Risk
PKF KENYA LLP,133,1,24741.38,24741.38,11022.94,4,At Risk
INCHCAPE KENYA LTD,132,2,23534.48,23534.48,7913.389999999999,4,At Risk
ALOK BEHAL,65,3,22435.35,22435.35,2951.79,4,At Risk
BLOOMINGDALE ROSES LTD,97,3,21551.72,21551.72,4929.51,4,At Risk
TANDU ALARMS SYSTEMS LIMITED,112,2,21379.31,21379.31,5922.13,4,At Risk
DEANA ENTERPRISES KENYA LTD,123,6,21077.59,21077.59,1959.3500000000004,4,At Risk
IMPERIAL PROPERTIES LIMITED,68,4,20431.039999999997,20431.039999999997,5309.96,4,At Risk
KENYA WILDLIFE SERVICES,65,4,17801.72,17801.72,3968.39,4,At Risk
UNIVERSITY OF NAIROBI,203,1,17068.97,17068.97,5068.97,4,At Risk
THIKA WAX WORKS LTD,358,1,16120.69,16120.69,7317.88,4,At Risk
RAIGWAYS TYRES & AUTOMART,310,2,14913.8,14913.8,6277.8,4,At Risk
KENYA HYDRAULICS LTD,140,4,13362.070000000002,13362.070000000002,5670.5599999999995,4,At Risk
LABCHEM LIMITED,19,11,12586.19,12586.19,4368.12,5,Promising
MANTRAC KENYA LTD,51,5,11724.14,11724.14,5247.2,4,At Risk
VED ENTERPRISES LIMITED,106,42,11193.970000000001,11193.970000000001,-14471.23,4,At Risk
C.G RETREAD(NRB) LIMITED,187,3,10948.28,10948.28,1645.1399999999999,4,At Risk
TRADE ROOTS LTD,243,1,10905.17,10905.17,3736.75,4,At Risk
LAVINGTON GREEN SERVICE,240,4,10603.44,10603.44,3931.74,4,At Risk
IMPALA AUTO SPARES LIMITED.,207,2,9870.69,9870.69,2824.2,4,At Risk
REDHILL INVESTMENTS LIMITED,267,2,9482.76,9482.76,1293.1,4,At Risk
POWER ENGINEERING INTERNATIONAL LTD,96,1,8620.69,8620.69,3204.76,4,At Risk
SYOKIMAU ICD LIMITED,65,3,7931.03,7931.03,6265.0,4,At Risk
CHUKA TYRES LIMITED,149,2,7206.9,7206.9,1736.8600000000001,4,At Risk
NUBILD CONSTRUCTION LIMITED,99,4,6599.13,6599.13,1851.7099999999998,4,At Risk
TWIGA GENERAL MERCHANTS LIMITED,47,2,5353.45,5353.45,0.060000000000002274,4,At Risk
AGRICULTURAL TRACTOR SPARES LTD(ATSL),293,2,3318.97,3318.97,875.05,4,At Risk
MOMBASA ISLAND CARGO TERMINAL (MICT),155,1,3017.24,3017.24,2381.08,4,At Risk
SAFERON SYSTEMS LTD,68,2,1853.45,1853.45,803.9000000000001,4,At Risk
PICKUP AUTO PARTS,9,10,1120.68,1120.68,979.8299999999999,5,Promising
AUTO PLANET ENTERPRISE,75,2,689.66,689.66,167.09,1,Hibernating
CARDOC AUTOMOTIVE LIMITED,195,3,681.04,681.04,119.89,1,Hibernating
D.F.ENTERPRISES CO.LTD.,279,2,344.83,344.83,275.86,1,Hibernating
LONDON DISTILLERS LTD,12,2,172.41,172.41,160.78,1,Hibernating
BMW CENTRE LTD,355,1,172.41,172.41,164.65,1,Hibernating
GOLDEN AUTO CENTRE LIMITED,58,3,172.41,172.41,159.61999999999998,1,Hibernating
ASILIA KENYA LIMITED,126,28,3.637978807091713e-12,3.637978807091713e-12,181548.98,1,Hibernating
NEW GATITU SERVICE STATION (1977) LTD - USD,21,2,0.0,0.0,2728223.88,1,Hibernating
NKG COFFEE MILLS KENYA LTD,250,2,0.0,0.0,14742.76,1,Hibernating
JAPANESE VEHICLE SERVICE CENTRE LIMITED,54,4,0.0,0.0,20159.22,1,Hibernating
STALLION COMPANY 2010 LIMITED,321,3,0.0,0.0,-28.759999999999998,1,Hibernating
DHRUV AUTO CLINIC,244,2,0.0,0.0,6771.28,1,Hibernating
